0	173221.288962631
1	173241.10224461
2	173297.993411092
3	173285.313353986
4	173288.97789277
5	173284.795797589
6	173284.234406061
7	173284.40354048
8	173285.182291823
9	173285.551427485
10	173285.344913398
11	173285.551794528
12	173285.441839977
13	173285.335023841
14	173285.356276097
15	173285.390890874
16	173285.405173594
17	173285.412648719
18	173285.40421566
19	173285.402624626
20	173285.397752993
21	173285.39930799
22	173285.401606707
23	173285.402031051
24	173285.401466182
25	173285.401572255
26	173285.401404403
27	173285.401654628
28	173285.401541394
29	173285.401576607
30	173285.40158898
